Resume,Category
"Professional Summary:
Results-driven Web Developer with 2 years of experience in
Tailwind CSS, Node.js, JavaScript, Express.js. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Tailwind CSS, Node.js, JavaScript, Express.js, Bootstrap, HTML, MongoDB, Git, Team Leadership, Communication

Experience:
Web Developer at Skyline Digital
- Architected responsive UIs using Bootstrap, by 35%.
- Architected e-commerce platforms using Webpack, improving performance by 40%.

Education:
MCA, Pune University

Certifications:
Scrum Master Certification",Web Developer
"Professional Summary:
Results-driven DevOps Engineer with 12 years of experience in
CI/CD, Infrastructure as Code, Monitoring, Bash Scripting. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
CI/CD, Infrastructure as Code, Monitoring, Bash Scripting, AWS, Terraform, Azure DevOps, Jenkins, Project Management, Time Management

Experience:
DevOps Engineer at Vertex Solutions
- Architected deployment automation using Azure DevOps, reducing latency by 25%.
- Automated CI/CD pipelines using Linux, reducing latency by 25%.
- Architected container orchestration using AWS, improving performance by 40%.
- Deployed release pipelines using Infrastructure as Code, across 5 production environments.

Education:
M.Sc in Data Science, VIT University

Certifications:
Google Data Analytics Certificate",DevOps Engineer
"Professional Summary:
Results-driven Software Engineer with 12 years of experience in
System Design, Design Patterns, Microservices, SQL. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
System Design, Design Patterns, Microservices, SQL, REST APIs, Algorithms, Git, Java, Time Management, Communication

Experience:
Software Engineer at ByteForge Inc
- Improved automated tests using CI/CD, reducing latency by 25%.
- Managed scalable systems using System Design, by 35%.
- Architected backend services using REST APIs, improving performance by 40%.
- Led scalable systems using C++, resulting in 15% cost savings.

Education:
B.E in Information Technology, National Institute of Technology

Certifications:
Scrum Master Certification",Software Engineer
"Professional Summary:
Results-driven Data Scientist with 10 years of experience in
SQL, Data Visualization, Deep Learning, Power BI. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
SQL, Data Visualization, Deep Learning, Power BI, A/B Testing, Pandas, Python, Machine Learning, Communication, Project Management

Experience:
Data Scientist at Vertex Solutions
- Developed machine learning models using Scikit-learn, by 20%.
- Developed recommendation systems using NumPy, for over 10,000 users.
- Developed data pipelines using A/B Testing, resulting in 15% cost savings.
- Deployed dashboards using Statistics, by 35%.

Education:
B.Tech in Computer Science, Pune University

Certifications:
TensorFlow Developer Certificate",Data Scientist
"Professional Summary:
Results-driven Web Developer with 3 years of experience in
Next.js, TypeScript, REST APIs, SQL. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Next.js, TypeScript, REST APIs, SQL, Tailwind CSS, React, Redux, Express.js, Agile, Time Management

Experience:
Web Developer at DataWave Analytics
- Optimized responsive UIs using React, by 20%.
- Deployed single page applications using CSS, across 5 production environments.

Education:
B.E in Information Technology, National Institute of Technology

Certifications:
Microsoft Certified: Azure Fundamentals",Web Developer
"Professional Summary:
Results-driven Cloud Engineer with 11 years of experience in
Networking, Linux, Security, AWS. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Networking, Linux, Security, AWS, Python, Docker, Google Cloud Platform, EC2, Problem Solving, Agile

Experience:
Cloud Engineer at NexGen Software
- Developed auto-scaling systems using DevOps, improving performance by 40%.
- Developed cloud infrastructure using Networking, by 20%.

Education:
B.Tech in Computer Science, Indian Institute of Technology

Certifications:
Oracle Certified Java Programmer",Cloud Engineer
"Professional Summary:
Results-driven DevOps Engineer with 9 years of experience in
Monitoring, Infrastructure as Code, CI/CD, Docker. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Monitoring, Infrastructure as Code, CI/CD, Docker, Grafana, Git, AWS, Jenkins, Communication, Scrum

Experience:
DevOps Engineer at ByteForge Inc
- Streamlined release pipelines using Ansible, improving performance by 40%.
- Developed monitoring systems using Jenkins, reducing latency by 25%.
- Streamlined CI/CD pipelines using Grafana, by 35%.

Education:
B.E in Information Technology, Pune University

Certifications:
Google Data Analytics Certificate",DevOps Engineer
"Professional Summary:
Results-driven Java Developer with 5 years of experience in
JPA, Maven, Design Patterns, Kafka. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
JPA, Maven, Design Patterns, Kafka, Microservices, REST APIs, Git, Multithreading, Time Management, Agile

Experience:
Java Developer at NexGen Software
- Architected batch jobs using Multithreading, by 35%.
- Created database integrations using JPA, across 5 production environments.
- Implemented batch jobs using REST APIs, by 35%.
- Improved batch jobs using Microservices, for over 10,000 users.

Education:
MCA, Anna University

Certifications:
TensorFlow Developer Certificate",Java Developer
"Professional Summary:
Results-driven Data Scientist with 4 years of experience in
Jupyter, Data Visualization, Deep Learning, Scikit-learn. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Jupyter, Data Visualization, Deep Learning, Scikit-learn, TensorFlow, Power BI, NumPy, Statistics, Team Leadership, Scrum

Experience:
Data Scientist at Quantum Softworks
- Engineered data pipelines using Data Visualization, improving performance by 40%.
- Deployed predictive models using Data Visualization, resulting in 15% cost savings.
- Led statistical analyses using Tableau, improving performance by 40%.
- Automated statistical analyses using TensorFlow, reducing latency by 25%.

Education:
MCA, State Technical University

Certifications:
Scrum Master Certification",Data Scientist
"Professional Summary:
Results-driven Web Developer with 12 years of experience in
REST APIs, React, HTML, Bootstrap. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
REST APIs, React, HTML, Bootstrap, CSS, MongoDB, Express.js, TypeScript, Team Leadership, Project Management

Experience:
Web Developer at Pinnacle IT Services
- Engineered responsive UIs using SQL, resulting in 15% cost savings.
- Engineered landing pages using CSS, improving performance by 40%.
- Implemented single page applications using HTML, by 20%.
- Implemented responsive UIs using TypeScript, by 35%.

Education:
B.Tech in Electronics and Communication, National Institute of Technology

Certifications:
Certified Kubernetes Administrator",Web Developer
"Professional Summary:
Results-driven Data Scientist with 7 years of experience in
Matplotlib, PyTorch, A/B Testing, Tableau. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Matplotlib, PyTorch, A/B Testing, Tableau, Power BI, Jupyter, Machine Learning, Python, Communication, Problem Solving

Experience:
Data Scientist at CloudNine Technologies
- Improved dashboards using Power BI, improving performance by 40%.
- Deployed dashboards using Power BI, improving performance by 40%.
- Engineered dashboards using Tableau, resulting in 15% cost savings.

Education:
B.E in Information Technology, Pune University

Certifications:
Scrum Master Certification",Data Scientist
"Professional Summary:
Results-driven Java Developer with 0 years of experience in
Multithreading, REST APIs, Maven, SQL. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Multithreading, REST APIs, Maven, SQL, Microservices, JPA, Spring Boot, Design Patterns, Agile, Time Management

Experience:
Java Developer at DataWave Analytics
- Architected database integrations using Spring Boot, by 35%.
- Architected REST APIs using Docker, resulting in 15% cost savings.
- Deployed REST APIs using Microservices, resulting in 15% cost savings.

Education:
M.Tech in Computer Science, VIT University

Certifications:
AWS Certified Solutions Architect",Java Developer
"Professional Summary:
Results-driven Java Developer with 3 years of experience in
Git, Spring Boot, JPA, Java. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Git, Spring Boot, JPA, Java, SQL, Kafka, Microservices, Maven, Project Management, Team Leadership

Experience:
Java Developer at Innovate Systems
- Built enterprise applications using SQL, for over 10,000 users.
- Deployed batch jobs using REST APIs, improving performance by 40%.
- Improved REST APIs using Kafka, for over 10,000 users.

Education:
B.E in Information Technology, State Technical University

Certifications:
Microsoft Certified: Azure Fundamentals",Java Developer
"Professional Summary:
Results-driven Data Scientist with 1 years of experience in
Statistics, Power BI, R, Machine Learning. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Statistics, Power BI, R, Machine Learning, Jupyter, PyTorch, Matplotlib, Pandas, Project Management, Communication

Experience:
Data Scientist at CloudNine Technologies
- Streamlined predictive models using Feature Engineering, resulting in 15% cost savings.
- Built predictive models using Feature Engineering, across 5 production environments.
- Designed data pipelines using TensorFlow, across 5 production environments.

Education:
M.Sc in Data Science, Delhi Technological University

Certifications:
TensorFlow Developer Certificate",Data Scientist
"Professional Summary:
Results-driven Cloud Engineer with 12 years of experience in
Security, IAM, Terraform, Kubernetes. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Security, IAM, Terraform, Kubernetes, AWS, Docker, Python, S3, Scrum, Time Management

Experience:
Cloud Engineer at Pinnacle IT Services
- Managed auto-scaling systems using Google Cloud Platform, resulting in 15% cost savings.
- Managed auto-scaling systems using DevOps, resulting in 15% cost savings.

Education:
B.Tech in Electronics and Communication, National Institute of Technology

Certifications:
AWS Certified Solutions Architect",Cloud Engineer
"Professional Summary:
Results-driven DevOps Engineer with 9 years of experience in
AWS, CI/CD, Kubernetes, Azure DevOps. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
AWS, CI/CD, Kubernetes, Azure DevOps, GitLab CI, Bash Scripting, Monitoring, Infrastructure as Code, Time Management, Problem Solving

Experience:
DevOps Engineer at Skyline Digital
- Engineered container orchestration using Prometheus, reducing latency by 25%.
- Engineered infrastructure as code using Infrastructure as Code, by 35%.

Education:
M.Tech in Computer Science, VIT University

Certifications:
Google Data Analytics Certificate",DevOps Engineer
"Professional Summary:
Results-driven DevOps Engineer with 0 years of experience in
Terraform, Monitoring, Kubernetes, GitLab CI. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Terraform, Monitoring, Kubernetes, GitLab CI, CI/CD, Grafana, Linux, AWS, Scrum, Team Leadership

Experience:
DevOps Engineer at NexGen Software
- Built infrastructure as code using Prometheus, across 5 production environments.
- Delivered container orchestration using Monitoring, resulting in 15% cost savings.
- Streamlined container orchestration using Ansible, by 20%.
- Implemented container orchestration using GitLab CI, resulting in 15% cost savings.

Education:
B.Sc in Computer Science, Indian Institute of Technology

Certifications:
Microsoft Certified: Azure Fundamentals",DevOps Engineer
"Professional Summary:
Results-driven Web Developer with 6 years of experience in
HTML, REST APIs, Bootstrap, MongoDB. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
HTML, REST APIs, Bootstrap, MongoDB, Express.js, TypeScript, CSS, Git, Team Leadership, Time Management

Experience:
Web Developer at CloudNine Technologies
- Built e-commerce platforms using React, for over 10,000 users.
- Optimized frontend components using Node.js, across 5 production environments.
- Improved web applications using React, reducing latency by 25%.

Education:
B.Tech in Computer Science, Pune University

Certifications:
Microsoft Certified: Azure Fundamentals",Web Developer
"Professional Summary:
Results-driven DevOps Engineer with 9 years of experience in
CI/CD, AWS, Azure DevOps, Jenkins. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
CI/CD, AWS, Azure DevOps, Jenkins, Infrastructure as Code, Kubernetes, Terraform, Ansible, Problem Solving, Team Leadership

Experience:
DevOps Engineer at TechCorp Solutions
- Managed infrastructure as code using Linux, for over 10,000 users.
- Created infrastructure as code using Linux, by 20%.
- Delivered release pipelines using Docker, by 20%.

Education:
M.Sc in Data Science, Delhi Technological University

Certifications:
Google Data Analytics Certificate",DevOps Engineer
"Professional Summary:
Results-driven DevOps Engineer with 9 years of experience in
CI/CD, Linux, Grafana, Azure DevOps. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
CI/CD, Linux, Grafana, Azure DevOps, Bash Scripting, Kubernetes, Docker, Ansible, Team Leadership, Agile

Experience:
DevOps Engineer at DataWave Analytics
- Automated container orchestration using Bash Scripting, across 5 production environments.
- Deployed release pipelines using Azure DevOps, across 5 production environments.
- Managed container orchestration using GitLab CI, reducing latency by 25%.
- Deployed container orchestration using Terraform, across 5 production environments.

Education:
B.Sc in Computer Science, Indian Institute of Technology

Certifications:
AWS Certified Solutions Architect",DevOps Engineer
"Professional Summary:
Results-driven DevOps Engineer with 11 years of experience in
Ansible, Grafana, Docker, GitLab CI. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Ansible, Grafana, Docker, GitLab CI, Azure DevOps, Infrastructure as Code, AWS, Jenkins, Time Management, Problem Solving

Experience:
DevOps Engineer at Quantum Softworks
- Streamlined CI/CD pipelines using Docker, resulting in 15% cost savings.
- Improved CI/CD pipelines using Prometheus, across 5 production environments.

Education:
B.E in Information Technology, VIT University

Certifications:
Microsoft Certified: Azure Fundamentals",DevOps Engineer
"Professional Summary:
Results-driven Cloud Engineer with 10 years of experience in
Kubernetes, DevOps, Terraform, Networking. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Kubernetes, DevOps, Terraform, Networking, Azure, Linux, IAM, CloudFormation, Communication, Scrum

Experience:
Cloud Engineer at Vertex Solutions
- Optimized multi-region deployments using Google Cloud Platform, improving performance by 40%.
- Optimized serverless architectures using CloudFormation, for over 10,000 users.
- Designed auto-scaling systems using Security, resulting in 15% cost savings.

Education:
M.Sc in Data Science, Delhi Technological University

Certifications:
Oracle Certified Java Programmer",Cloud Engineer
"Professional Summary:
Results-driven Web Developer with 6 years of experience in
REST APIs, Bootstrap, Node.js, CSS. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
REST APIs, Bootstrap, Node.js, CSS, Express.js, Git, Redux, Tailwind CSS, Agile, Communication

Experience:
Web Developer at ByteForge Inc
- Delivered e-commerce platforms using Git, for over 10,000 users.
- Streamlined e-commerce platforms using Redux, across 5 production environments.
- Automated landing pages using Node.js, for over 10,000 users.

Education:
B.Tech in Computer Science, State Technical University

Certifications:
Microsoft Certified: Azure Fundamentals",Web Developer
"Professional Summary:
Results-driven Software Engineer with 2 years of experience in
SQL, CI/CD, Object Oriented Programming, Design Patterns. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
SQL, CI/CD, Object Oriented Programming, Design Patterns, Microservices, Java, Agile, Data Structures, Team Leadership, Problem Solving

Experience:
Software Engineer at Quantum Softworks
- Built backend services using C++, for over 10,000 users.
- Streamlined internal tools using System Design, improving performance by 40%.

Education:
B.Sc in Computer Science, Delhi Technological University

Certifications:
Scrum Master Certification",Software Engineer
"Professional Summary:
Results-driven DevOps Engineer with 9 years of experience in
Prometheus, Infrastructure as Code, Docker, GitLab CI. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Prometheus, Infrastructure as Code, Docker, GitLab CI, Linux, Terraform, Kubernetes, Bash Scripting, Time Management, Problem Solving

Experience:
DevOps Engineer at ByteForge Inc
- Optimized deployment automation using Terraform, across 5 production environments.
- Managed container orchestration using Monitoring, improving performance by 40%.
- Managed container orchestration using CI/CD, across 5 production environments.
- Streamlined infrastructure as code using Grafana, by 35%.

Education:
B.Sc in Computer Science, State Technical University

Certifications:
Oracle Certified Java Programmer",DevOps Engineer
"Professional Summary:
Results-driven AI Engineer with 10 years of experience in
Computer Vision, FastAPI, Model Deployment, Docker. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Computer Vision, FastAPI, Model Deployment, Docker, PyTorch, TensorFlow, Flask, REST APIs, Team Leadership, Problem Solving

Experience:
AI Engineer at Skyline Digital
- Deployed chatbots using CUDA, improving performance by 40%.
- Streamlined NLP pipelines using PyTorch, improving performance by 40%.

Education:
M.Tech in Computer Science, Indian Institute of Technology

Certifications:
Scrum Master Certification",AI Engineer
"Professional Summary:
Results-driven Java Developer with 8 years of experience in
JUnit, Java, SQL, Hibernate. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
JUnit, Java, SQL, Hibernate, Git, Kafka, MySQL, Multithreading, Scrum, Team Leadership

Experience:
Java Developer at Vertex Solutions
- Managed backend systems using MySQL, by 35%.
- Automated REST APIs using Git, by 20%.
- Engineered REST APIs using Hibernate, for over 10,000 users.

Education:
B.E in Information Technology, Delhi Technological University

Certifications:
AWS Certified Solutions Architect",Java Developer
"Professional Summary:
Results-driven Cloud Engineer with 6 years of experience in
IAM, Python, Lambda, EC2. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
IAM, Python, Lambda, EC2, Linux, S3, CloudFormation, Kubernetes, Time Management, Communication

Experience:
Cloud Engineer at Vertex Solutions
- Managed auto-scaling systems using Docker, by 35%.
- Engineered cloud infrastructure using S3, by 35%.
- Managed cloud security policies using IAM, by 35%.

Education:
B.E in Information Technology, Anna University

Certifications:
Microsoft Certified: Azure Fundamentals",Cloud Engineer
"Professional Summary:
Results-driven Cloud Engineer with 5 years of experience in
Networking, Security, IAM, Azure. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Networking, Security, IAM, Azure, Google Cloud Platform, S3, DevOps, Lambda, Project Management, Problem Solving

Experience:
Cloud Engineer at DataWave Analytics
- Managed cloud migrations using Python, reducing latency by 25%.
- Designed cloud migrations using Security, resulting in 15% cost savings.

Education:
B.Tech in Electronics and Communication, Indian Institute of Technology

Certifications:
Microsoft Certified: Azure Fundamentals",Cloud Engineer
"Professional Summary:
Results-driven Software Engineer with 7 years of experience in
Design Patterns, Agile, SQL, Java. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Design Patterns, Agile, SQL, Java, Algorithms, C++, Python, CI/CD, Agile, Communication

Experience:
Software Engineer at DataWave Analytics
- Implemented backend services using System Design, across 5 production environments.
- Architected internal tools using CI/CD, improving performance by 40%.
- Deployed internal tools using Microservices, resulting in 15% cost savings.
- Delivered automated tests using REST APIs, resulting in 15% cost savings.

Education:
B.Sc in Computer Science, Delhi Technological University

Certifications:
Certified Kubernetes Administrator",Software Engineer
"Professional Summary:
Results-driven Java Developer with 5 years of experience in
Spring Boot, JPA, REST APIs, Microservices. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Spring Boot, JPA, REST APIs, Microservices, Git, Kafka, Hibernate, Maven, Time Management, Communication

Experience:
Java Developer at NexGen Software
- Streamlined database integrations using Docker, reducing latency by 25%.
- Delivered Spring Boot microservices using Docker, for over 10,000 users.
- Deployed database integrations using Kafka, for over 10,000 users.

Education:
B.E in Information Technology, Indian Institute of Technology

Certifications:
Oracle Certified Java Programmer",Java Developer
"Professional Summary:
Results-driven Software Engineer with 3 years of experience in
Data Structures, Git, System Design, Object Oriented Programming. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Data Structures, Git, System Design, Object Oriented Programming, Java, REST APIs, Design Patterns, Agile, Problem Solving, Communication

Experience:
Software Engineer at NexGen Software
- Engineered scalable systems using Data Structures, resulting in 15% cost savings.
- Delivered backend services using Python, by 20%.
- Developed backend services using Agile, for over 10,000 users.

Education:
M.Tech in Computer Science, Anna University

Certifications:
TensorFlow Developer Certificate",Software Engineer
"Professional Summary:
Results-driven Data Scientist with 3 years of experience in
NumPy, Statistics, Data Visualization, Scikit-learn. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
NumPy, Statistics, Data Visualization, Scikit-learn, R, Python, PyTorch, TensorFlow, Team Leadership, Scrum

Experience:
Data Scientist at CloudNine Technologies
- Deployed recommendation systems using Power BI, by 20%.
- Architected recommendation systems using R, improving performance by 40%.
- Developed statistical analyses using SQL, across 5 production environments.
- Built dashboards using Deep Learning, reducing latency by 25%.

Education:
MCA, VIT University

Certifications:
PMP Certification",Data Scientist
"Professional Summary:
Results-driven AI Engineer with 9 years of experience in
CUDA, FastAPI, Kubernetes, Transformers. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
CUDA, FastAPI, Kubernetes, Transformers, OpenCV, Model Deployment, NLP, Python, Problem Solving, Team Leadership

Experience:
AI Engineer at Innovate Systems
- Delivered NLP pipelines using FastAPI, across 5 production environments.
- Designed AI inference services using TensorFlow, resulting in 15% cost savings.

Education:
B.Sc in Computer Science, State Technical University

Certifications:
PMP Certification",AI Engineer
"Professional Summary:
Results-driven Java Developer with 8 years of experience in
Spring Boot, Git, Docker, Microservices. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Spring Boot, Git, Docker, Microservices, MySQL, Hibernate, REST APIs, Kafka, Communication, Scrum

Experience:
Java Developer at TechCorp Solutions
- Engineered Spring Boot microservices using Kafka, across 5 production environments.
- Engineered Spring Boot microservices using Spring Boot, resulting in 15% cost savings.
- Implemented batch jobs using Docker, for over 10,000 users.
- Managed Spring Boot microservices using Spring Boot, for over 10,000 users.

Education:
B.Tech in Electronics and Communication, Indian Institute of Technology

Certifications:
Certified Kubernetes Administrator",Java Developer
"Professional Summary:
Results-driven Cloud Engineer with 0 years of experience in
Linux, AWS, Kubernetes, Lambda. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Linux, AWS, Kubernetes, Lambda, Networking, Google Cloud Platform, CloudFormation, EC2, Communication, Team Leadership

Experience:
Cloud Engineer at Innovate Systems
- Deployed cloud migrations using AWS, by 20%.
- Built serverless architectures using AWS, by 20%.
- Automated serverless architectures using Google Cloud Platform, improving performance by 40%.

Education:
B.E in Information Technology, Anna University

Certifications:
Scrum Master Certification",Cloud Engineer
"Professional Summary:
Results-driven AI Engineer with 5 years of experience in
REST APIs, Flask, Docker, Python. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
REST APIs, Flask, Docker, Python, NLP, Hugging Face, Keras, Computer Vision, Time Management, Communication

Experience:
AI Engineer at Skyline Digital
- Developed chatbots using PyTorch, by 35%.
- Improved chatbots using MLOps, across 5 production environments.
- Improved AI inference services using Keras, by 35%.
- Deployed chatbots using Model Deployment, for over 10,000 users.

Education:
B.Tech in Computer Science, National Institute of Technology

Certifications:
Google Data Analytics Certificate",AI Engineer
"Professional Summary:
Results-driven Cloud Engineer with 12 years of experience in
Linux, CloudFormation, EC2, DevOps. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Linux, CloudFormation, EC2, DevOps, Networking, Google Cloud Platform, Kubernetes, Security, Project Management, Scrum

Experience:
Cloud Engineer at DataWave Analytics
- Engineered cloud security policies using Networking, for over 10,000 users.
- Implemented cloud infrastructure using Kubernetes, by 35%.

Education:
B.E in Information Technology, VIT University

Certifications:
Microsoft Certified: Azure Fundamentals",Cloud Engineer
"Professional Summary:
Results-driven Software Engineer with 8 years of experience in
C++, REST APIs, Design Patterns, Python. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
C++, REST APIs, Design Patterns, Python, Java, Unit Testing, System Design, Object Oriented Programming, Time Management, Communication

Experience:
Software Engineer at DataWave Analytics
- Automated backend services using CI/CD, for over 10,000 users.
- Designed internal tools using Data Structures, by 35%.
- Created internal tools using Agile, by 35%.
- Created internal tools using Python, reducing latency by 25%.

Education:
M.Tech in Computer Science, National Institute of Technology

Certifications:
TensorFlow Developer Certificate",Software Engineer
